latitude;longitude
38.450667;-90.21635
38.4585;-90.288
38.513867;-90.435083
38.613917;-90.3309
38.620417;-90.327283
38.6239;-90.345533
38.64425;-90.306
38.619883;-90.36875
38.545567;-90.475567
38.538817;-90.489467
38.591133;-90.479833
38.5208;-90.524033
38.66935;-90.377683
38.563217;-90.50855
38.534633;-90.52905
38.64895;-90.432717
38.534183;-90.534583
38.569467;-89.914783
38.545567;-90.5347
38.5358;-90.5398
38.615167;-90.48615
38.587;-90.510833
38.568883;-90.524617
38.5481;-90.536883
38.235283;-90.424767
38.5549;-90.53575
38.700367;-90.0803
38.54955;-90.540133
38.640417;-90.467217
38.552717;-90.543017
38.569867;-90.5343
38.54735;-90.54875
38.54825;-90.550617
38.55555;-90.547317
38.54825;-90.553617
38.7;-90.383333
38.725717;-90.299433
38.732867;-90.29735
38.512267;-90.578267
38.6714;-90.45775
38.595883;-90.538217
38.513917;-90.578933
38.735383;-90.294967
38.509883;-90.581983
38.5201;-90.58055
38.523817;-90.579833
38.670417;-90.466783
38.510083;-90.58475
38.52245;-90.581417
38.525667;-90.5819
38.524067;-90.582633
38.543;-90.575767
38.508267;-90.5872
38.5208;-90.5846
38.523667;-90.584617
38.509883;-90.5889
38.525633;-90.584617
38.5113;-90.58905
38.524667;-90.58655
38.528333;-90.586333
38.53345;-90.585133
38.713567;-90.4038
38.535867;-90.5881
38.717483;-90.40595
38.716233;-90.415217
38.53855;-90.595883
38.539617;-90.59705
38.54075;-90.598533
38.719483;-90.4202
38.542017;-90.6006
38.58295;-90.581833
38.590517;-90.57895
38.543933;-90.60285
38.540817;-90.60475
38.544283;-90.604467
38.6008;-90.574717
38.5445;-90.6061
38.60035;-90.576917
38.585867;-90.587367
38.5418;-90.60935
38.547633;-90.60755
38.549833;-90.6067
38.680617;-90.5057
38.55075;-90.60825
38.545217;-90.6118
38.543;-90.612783
38.556533;-90.607367
38.5546;-90.608567
38.559017;-90.60805
38.567533;-90.604867
38.561367;-90.608183
38.542983;-90.616433
38.7351;-90.424783
38.562167;-90.611483
38.588417;-90.600183
38.728217;-90.446367
38.711733;-90.477717
38.542167;-90.623683
38.711533;-90.479867
38.73595;-90.435733
38.715533;-90.474517
38.665767;-90.54145
38.701117;-90.497033
38.714767;-90.476083
38.597283;-90.599083
38.669483;-90.538667
38.651733;-90.5573
38.71155;-90.483583
38.645533;-90.564267
38.60125;-90.599983
38.721717;-90.4724
38.6725;-90.5415
38.669833;-90.54635
38.672717;-90.544
38.715867;-90.487967
38.672033;-90.546967
38.584333;-90.617767
38.7161;-90.493033
38.781317;-90.342817
38.582167;-90.62485
38.57925;-90.62645
38.445683;-90.659133
38.722533;-90.492383
38.790017;-90.120383
38.608;-90.615783
38.718283;-90.5123
38.756683;-90.447583
38.720733;-90.5124
38.583233;-90.638917
38.586517;-90.641233
38.578433;-90.646333
38.750967;-90.472283
38.7993;-90.339017
38.584583;-90.647967
38.798517;-90.081333
38.758567;-89.9651
38.219733;-90.577867
38.806133;-90.102067
38.218133;-90.577817
38.766467;-89.9776
38.21665;-90.5767
38.213767;-90.577417
38.215;-90.580017
38.81785;-90.295333
38.7366;-90.52175
38.816467;-90.119617
38.808133;-90.360667
38.737183;-90.525683
38.724583;-90.546817
38.827767;-90.214917
38.50735;-90.693217
38.827033;-90.259
38.7635;-89.942833
38.829683;-90.223233
38.7882;-89.99325
38.767967;-90.48415
38.7651;-90.4907
38.64895;-90.631767
38.765017;-89.938667
38.787533;-89.98435
38.7718;-90.4837
38.781417;-89.966133
38.769633;-89.941983
38.778283;-90.474067
38.820083;-90.353483
38.775117;-90.48145
38.777367;-90.48165
38.78265;-90.471117
38.7737;-90.4896
38.782117;-90.4733
38.561833;-90.691633
38.827867;-90.0956
38.780133;-90.48195
38.7839;-90.475
38.783167;-90.479
38.825883;-90.357567
38.53155;-90.70665
38.062033;-90.283233
38.776767;-90.497417
38.481633;-90.71725
38.828617;-90.356817
38.760783;-90.5264
38.785717;-90.483967
